element,id,geometry,name,lat,lon
node,292743083,POINT (100.5673621 13.718573399999999),Shell,13.718573399999999,100.5673621
node,357091596,POINT (100.6106115 13.682754599999999),สยามแก๊ส,13.682754599999999,100.6106115
node,357091616,POINT (100.6280329 13.669622299999999),สยามแก๊ส,13.669622299999999,100.6280329
node,357091622,POINT (100.6321353 13.668892600000001),Esso,13.668892600000001,100.6321353
node,379014542,POINT (100.6703176 13.690079700000002),Susco,13.690079700000002,100.6703176
node,390290241,POINT (100.6594082 13.6764383),เอสโซ่,13.6764383,100.6594082
node,1044102004,POINT (100.6296543 13.669353699999998),Caltex,13.669353699999998,100.6296543
node,1135425719,POINT (100.4411954 13.662720700000001),ปั้มบางจาก พระราม 2,13.662720700000001,100.4411954
node,1157495593,POINT (100.4212989 13.6990059),ป.ต.ท.,13.6990059,100.4212989
node,1629229640,POINT (100.40987030000001 13.711032999999999),ปั๊มน้ำมันคาลเท็กซ์,13.711032999999999,100.40987030000001
node,1629229645,POINT (100.4104977 13.71046),ปั๊มน้ำมันเชลล์ หจก.สุกิจบริการ,13.71046,100.4104977
node,1699438366,POINT (100.54081880000001 13.7688171),PTT SS (Sanampao),13.7688171,100.54081880000001
node,1707986950,POINT (100.5306365 13.826822200000002),ปตท,13.826822200000002,100.5306365
node,1726919795,POINT (100.5479209 13.803783300000001),GV Station,13.803783300000001,100.5479209
node,1750540414,POINT (100.5657445 13.7198335),บางจาก,13.7198335,100.5657445
node,1833806390,POINT (100.6432882 13.820642399999999),ป.ต.ท.,13.820642399999999,100.6432882
node,1833806391,POINT (100.6422368 13.8223927),ปั้มคาลเท็กซ์,13.8223927,100.6422368
node,1863557646,POINT (100.520226 13.786244299999998),PTT,13.786244299999998,100.520226
node,1882233203,POINT (100.4559588 13.72011),เชลล์,13.72011,100.4559588
node,1906487091,POINT (100.40592490000002 13.651794099999998),ซัสโก้ สาขาบางบอน,13.651794099999998,100.40592490000002
node,1926817479,POINT (100.4448601 13.7157914),ป.ต.ท.,13.7157914,100.4448601
node,1952137264,POINT (100.5724426 13.866191399999998),บางจาก,13.866191399999998,100.5724426
node,1971414616,POINT (100.4408281 13.7143903),ป.ต.ท.,13.7143903,100.4408281
node,1987901087,POINT (100.6742629 13.7779259),ป.ต.ท.,13.7779259,100.6742629
node,1987901376,POINT (100.6745789 13.7770957),เชลล์,13.7770957,100.6745789
node,2025196695,POINT (100.5696125 13.890416600000002),เชลล์,13.890416600000002,100.5696125
node,2025196705,POINT (100.568266 13.8908171),ป.ต.ท.,13.8908171,100.568266
node,2025196777,POINT (100.562309 13.892159599999998),Shell,13.892159599999998,100.562309
